Server,Player Name,Troop ATK,Troop HP,Troop DEF,Troop DMG,Troop DMG Recv,Troop ATK Bless,Troop PROT Bless,Infantry ATK,Infantry HP,Infantry DEF,Infantry DMG,Infantry DMG Recv,Infantry ATK Bless,Infantry PROT Bless,Archer ATK,Archer HP,Archer DEF,Archer DMG,Archer DMG Recv,Archer ATK Bless,Archer PROT Bless,Cav ATK,Cav HP,Cav DEF,Cav DMG,Cav DMG Recv,Cav ATK Bless,Cav PROT Bless,Siege ATK,Siege HP,Siege DEF,Siege DMG,Siege DMG Recv,Siege ATK Bless,Siege PROT Bless,Lethal %
K282,(PLY)༺PEPE༻,272.60%,229.60%,244.10%,41.50%,-40.00%,475.44%,13.96%,867.20%,766.92%,1291.05%,41.00%,-56.75%,131.00%,203.00%,1188.70%,702.55%,710.35%,154.75%,-121.50%,239.00%,167.00%,2017.55%,1308.70%,821.85%,150.75%,-126.75%,254.00%,179.00%,933.50%,303.00%,730.50%,51.00%,-23.00%,124.00%,57.00%,20.50%
K282,(Mac)Farm00000000001,440.85%,346.85%,405.85%,43.75%,-43.75%,499.36%,583.00%,1830.20%,2464.00%,1923.20%,172.50%,-207.75%,341.00%,900.00%,1951.50%,1501.50%,1330.85%,143.50%,-157.50%,719.00%,339.00%,2705.35%,1887.50%,1564.50%,192.50%,-172.50%,900.00%,512.00%,1674.00%,1099.00%,1540.00%,181.50%,-160.50%,616.00%,290.00%,21.50%
K282,(Mac)夜未央,452.10%,351.60%,422.10%,47.50%,-47.50%,448.56%,357.68%,1157.20%,2258.92%,2247.20%,136.50%,-230.75%,155.00%,900.00%,1825.00%,1434.00%,1187.35%,182.50%,-187.50%,462.00%,170.00%,2983.55%,2009.50%,1515.20%,201.75%,-197.50%,854.00%,576.00%,1808.35%,837.50%,1438.50%,200.75%,-184.50%,252.00%,165.00%,22.50%
K282,(Mac)・妖彡一・,289.85%,241.35%,255.35%,41.50%,-41.50%,456.12%,51.44%,705.50%,1026.07%,930.42%,49.00%,-61.25%,78.00%,220.00%,2024.50%,1498.50%,1270.85%,162.75%,-140.75%,502.00%,303.00%,1980.20%,1609.20%,652.50%,150.25%,-134.75%,244.00%,90.00%,1243.00%,288.00%,724.00%,51.00%,-41.00%,58.00%,50.00%,21.50%
K282,(Mac)PaPillon,336.90%,292.40%,306.40%,43.75%,-43.75%,575.52%,222.40%,952.20%,1361.99%,1330.20%,138.50%,-165.75%,149.00%,603.00%,1803.50%,1021.50%,809.85%,152.75%,-128.50%,205.00%,146.00%,2407.05%,1326.50%,911.20%,167.25%,-144.75%,498.00%,318.00%,1965.85%,563.50%,1160.00%,152.75%,-134.50%,336.00%,136.00%,22.00%
K282,(Mac)Sakura,247.71%,224.60%,232.10%,41.50%,-40.00%,187.44%,141.40%,804.70%,1476.55%,1180.42%,116.50%,-135.60%,103.00%,141.00%,2061.60%,1270.50%,1041.70%,137.60%,-118.25%,245.00%,138.00%,924.75%,839.00%,507.85%,93.30%,-89.80%,74.00%,51.00%,923.80%,617.70%,248.50%,44.35%,-30.50%,42.00%,42.00%,20.00%
K282,(Mac)༺KinG亖Eblis༻,328.40%,232.40%,282.40%,40.00%,-41.50%,521.16%,115.62%,807.20%,958.07%,1223.05%,55.25%,-65.00%,169.00%,260.00%,2262.20%,1523.00%,1442.05%,162.75%,-142.75%,486.00%,308.00%,1775.85%,1208.00%,880.50%,150.25%,-132.75%,323.00%,214.00%,1246.85%,395.00%,812.00%,54.50%,-39.00%,70.00%,62.00%,20.50%
K282,(Mac)Alien,310.71%,237.60%,281.60%,41.50%,-40.00%,486.88%,76.98%,716.70%,1321.05%,1064.42%,41.00%,-58.25%,71.00%,137.00%,2187.05%,1350.50%,970.20%,157.00%,-136.75%,316.00%,181.00%,1163.00%,879.50%,494.85%,119.00%,-97.00%,99.00%,77.00%,1029.05%,469.70%,257.00%,47.00%,-25.00%,58.00%,56.00%,20.00%
K282,(Mac)Farm00000000002,352.21%,245.60%,278.10%,40.00%,-19.00%,533.68%,84.16%,1026.70%,1580.54%,1097.07%,71.60%,-82.60%,76.00%,264.00%,2528.55%,1585.20%,857.50%,152.00%,-144.75%,532.00%,241.00%,1183.00%,1059.50%,791.20%,144.75%,-128.50%,107.00%,60.00%,1005.20%,629.70%,395.00%,43.50%,-25.00%,75.00%,58.00%,21.50%
K282,(Mac)SHNKSツ,343.85%,301.85%,328.35%,43.75%,-43.75%,541.16%,165.20%,810.70%,1137.42%,1649.62%,136.50%,-155.25%,150.00%,502.00%,1245.20%,655.20%,874.70%,144.75%,-138.50%,252.00%,171.00%,2442.55%,2057.55%,1080.50%,157.25%,-149.00%,503.00%,305.00%,1156.00%,387.00%,981.00%,142.75%,-136.50%,272.00%,167.00%,21.00%
K282,(Mac)敢°・○魔鬼_276,274.86%,231.75%,271.25%,40.00%,-40.00%,211.12%,41.44%,770.20%,1696.97%,1250.00%,110.50%,-126.35%,84.00%,303.00%,2172.30%,1441.70%,686.50%,127.85%,-119.25%,411.00%,169.00%,990.75%,907.50%,677.20%,80.50%,-87.00%,79.00%,46.00%,816.95%,578.70%,234.00%,32.95%,-25.10%,74.00%,46.00%,20.00%
K282,(Mac)†II†,232.10%,190.10%,283.60%,40.00%,-40.00%,132.40%,85.80%,693.70%,877.62%,1092.13%,130.50%,-126.90%,76.00%,105.00%,661.45%,396.00%,518.15%,20.00%,-27.00%,24.00%,20.00%,1976.80%,1350.90%,964.70%,140.90%,-117.00%,254.00%,154.00%,701.60%,166.00%,550.30%,31.15%,-7.00%,13.50%,12.50%,12.00%
K282,(Mac)TanjiroKamado,250.21%,239.10%,247.60%,40.00%,-40.00%,190.40%,124.28%,770.70%,1443.05%,1141.92%,112.50%,-138.75%,85.00%,134.00%,2130.60%,1310.50%,1004.70%,139.60%,-132.75%,259.00%,147.00%,890.25%,917.00%,653.35%,88.50%,-87.00%,90.00%,43.00%,971.20%,587.70%,279.00%,42.35%,-28.50%,42.00%,40.00%,20.00%
K282,(Mac)小流星,395.51%,275.90%,307.90%,43.75%,-43.75%,600.00%,126.00%,1286.20%,1827.54%,1338.07%,57.25%,-77.75%,164.00%,621.00%,2733.55%,1601.70%,959.00%,173.50%,-144.75%,631.00%,396.00%,1285.00%,1143.50%,799.20%,152.75%,-136.50%,178.00%,146.00%,1058.70%,684.70%,412.00%,59.00%,-49.00%,181.00%,146.00%,22.50%
K282,(Mac)大黃蜂,386.51%,276.40%,302.40%,43.75%,-43.75%,600.00%,126.00%,1285.20%,1902.04%,1408.57%,57.25%,-84.00%,220.00%,448.00%,2735.55%,1554.20%,917.50%,173.50%,-144.75%,677.00%,434.00%,1194.00%,1141.50%,797.20%,146.50%,-136.50%,173.00%,146.00%,1153.70%,689.70%,412.00%,59.00%,-49.00%,166.00%,146.00%,22.50%
K282,(Mac)Nツ,323.59%,255.34%,319.34%,41.50%,-43.75%,575.52%,184.08%,917.70%,1349.62%,1000.57%,55.25%,-61.50%,143.00%,547.00%,2413.55%,1821.20%,1230.00%,150.50%,-144.75%,537.00%,252.00%,1822.50%,1057.50%,938.20%,140.25%,-142.75%,252.00%,161.00%,1220.50%,442.00%,921.00%,41.00%,-49.00%,117.00%,74.00%,22.00%
K282,(Mac)陳小光,396.60%,349.10%,399.10%,47.50%,-47.50%,449.60%,473.92%,965.70%,1688.99%,1491.20%,162.50%,-216.50%,240.00%,900.00%,2437.50%,1637.50%,1653.85%,209.75%,-194.50%,877.00%,397.00%,2545.05%,1920.50%,1426.20%,193.50%,-199.00%,747.00%,337.00%,1695.85%,599.50%,1327.00%,149.25%,-155.00%,192.00%,139.00%,22.00%
