Server,Player Name,Troop ATK,Troop HP,Troop DEF,Troop DMG,Troop DMG Recv,Troop ATK Bless,Troop PROT Bless,Infantry ATK,Infantry HP,Infantry DEF,Infantry DMG,Infantry DMG Recv,Infantry ATK Bless,Infantry PROT Bless,Archer ATK,Archer HP,Archer DEF,Archer DMG,Archer DMG Recv,Archer ATK Bless,Archer PROT Bless,Cav ATK,Cav HP,Cav DEF,Cav DMG,Cav DMG Recv,Cav ATK Bless,Cav PROT Bless,Siege ATK,Siege HP,Siege DEF,Siege DMG,Siege DMG Recv,Siege ATK Bless,Siege PROT Bless,Lethal %
K159,(ROC)stanley,320.71%,255.10%,270.10%,40.00%,-33.30%,557.16%,85.66%,801.70%,1575.04%,1116.57%,49.00%,-63.50%,102.00%,278.00%,2381.05%,1690.70%,843.00%,148.00%,-136.75%,336.00%,162.00%,1286.00%,1039.00%,671.70%,147.75%,-134.75%,241.00%,130.00%,1107.70%,606.70%,325.00%,46.00%,-45.00%,153.00%,102.00%,22.00%
K159,(ROC)SoldierOfHeaven,492.21%,434.10%,454.10%,41.50%,-43.75%,241.40%,600.00%,1544.20%,2914.63%,2182.99%,138.50%,-213.50%,354.00%,700.00%,2535.35%,2029.00%,1503.00%,164.50%,-196.50%,700.00%,440.00%,1550.00%,1540.00%,1442.35%,133.40%,-145.65%,700.00%,626.00%,896.00%,1548.70%,1292.70%,142.00%,-160.50%,417.00%,215.00%,23.00%
K159,(ROC)Karramba,408.96%,252.10%,310.10%,43.75%,-4.00%,601.00%,126.00%,959.70%,1856.54%,1285.07%,133.50%,-125.25%,163.00%,621.00%,3121.05%,2112.70%,999.00%,205.00%,-142.50%,700.00%,593.00%,1350.00%,1059.00%,765.70%,172.50%,-128.50%,285.00%,116.00%,1247.70%,618.70%,395.00%,72.00%,-41.00%,117.00%,82.00%,23.00%
K159,(ROC)SKY,324.21%,224.10%,220.10%,40.00%,-39.00%,291.36%,124.82%,668.20%,1465.12%,1318.92%,144.75%,-133.75%,105.00%,102.00%,2316.05%,1426.00%,1037.70%,148.00%,-123.75%,287.00%,236.00%,1013.50%,968.50%,601.35%,88.75%,-65.75%,26.00%,33.00%,964.05%,601.70%,244.50%,46.00%,-25.00%,19.50%,19.50%,22.00%
K159,(ROC)NoLife,379.46%,287.85%,345.85%,43.75%,-43.75%,335.16%,307.16%,1588.50%,2280.84%,1163.07%,144.75%,-167.50%,204.00%,537.00%,2624.70%,2043.70%,1175.00%,184.00%,-175.00%,400.00%,278.00%,1356.00%,1098.00%,902.35%,165.75%,-142.75%,312.00%,237.00%,1136.70%,1199.70%,694.00%,156.00%,-136.50%,233.00%,195.00%,23.50%
K159,(ROC)XARDAS,353.46%,239.45%,257.85%,43.75%,-31.10%,570.04%,96.04%,942.70%,1714.04%,1220.57%,55.25%,-72.75%,76.00%,305.00%,2530.05%,1814.20%,930.50%,171.25%,-144.75%,445.00%,287.00%,1230.00%,1012.00%,643.70%,152.75%,-130.50%,162.00%,63.00%,1076.70%,657.70%,387.00%,55.50%,-41.00%,68.00%,55.00%,23.50%
K159,(ROC)FREJKA,354.46%,194.00%,224.40%,41.50%,-2.50%,509.32%,68.44%,817.20%,1630.04%,1057.57%,61.25%,-58.25%,111.00%,153.00%,2347.05%,1599.70%,667.00%,158.25%,-140.75%,200.00%,146.00%,1141.00%,978.00%,610.70%,118.75%,-99.25%,80.00%,65.00%,1041.70%,570.70%,373.00%,51.00%,-25.00%,66.00%,63.00%,22.50%
K159,(ROC)Fenix,357.96%,226.10%,253.60%,43.75%,-30.25%,587.04%,113.04%,969.70%,1558.62%,1379.99%,73.00%,-62.00%,107.00%,296.00%,2743.05%,1810.70%,877.00%,199.00%,-130.00%,504.00%,302.00%,1390.00%,998.00%,721.70%,176.75%,-130.50%,171.00%,69.00%,890.00%,628.70%,500.20%,68.50%,-39.00%,101.00%,59.00%,22.00%
K159,(ROC)BLUESHAHED191,271.10%,229.10%,252.10%,40.00%,-39.00%,186.90%,188.26%,955.70%,1453.62%,1119.57%,138.75%,-136.25%,146.00%,153.00%,2266.05%,1704.70%,1100.00%,144.50%,-130.00%,182.00%,182.00%,1288.50%,921.00%,556.70%,40.00%,-36.50%,137.00%,140.00%,1058.00%,303.00%,768.00%,32.50%,-25.00%,55.00%,45.00%,22.00%
K159,(ROC)Турист,322.21%,252.60%,244.60%,40.00%,-39.00%,205.00%,77.28%,1040.70%,1621.04%,1162.00%,134.75%,-136.25%,119.00%,136.00%,2246.55%,1514.70%,836.00%,157.00%,-132.75%,298.00%,207.00%,972.00%,889.50%,681.20%,68.20%,-61.70%,66.00%,73.00%,885.20%,597.70%,301.00%,37.50%,-25.00%,44.00%,49.00%,20.00%
K159,(ROC)Taliban,370.96%,235.66%,270.10%,43.75%,-41.50%,525.44%,174.64%,834.70%,1837.04%,1222.57%,142.75%,-148.75%,81.00%,383.00%,2638.05%,1946.70%,935.00%,167.25%,-136.75%,570.00%,348.00%,1236.00%,1224.00%,916.70%,154.75%,-134.75%,367.00%,162.00%,1090.70%,587.70%,405.00%,59.00%,-45.00%,105.00%,73.00%,23.00%
K159,(ROC)HammerDoob,299.71%,151.50%,258.60%,40.00%,-1.00%,367.32%,0.00%,681.20%,1126.62%,881.92%,22.00%,-50.50%,117.00%,188.00%,2113.05%,1278.00%,883.20%,136.50%,-119.00%,291.00%,210.00%,1171.50%,815.00%,510.85%,123.00%,-112.50%,109.00%,78.00%,933.05%,509.20%,257.00%,33.00%,-19.00%,70.00%,57.00%,20.00%
K159,(ROC)Nobody,367.46%,271.10%,267.60%,41.50%,-4.90%,583.00%,109.00%,930.70%,1740.04%,1332.57%,79.25%,-59.00%,117.00%,409.00%,2781.05%,1930.70%,1024.00%,176.75%,-135.00%,636.00%,406.00%,1252.00%,1032.50%,735.20%,159.25%,-130.50%,209.00%,133.00%,1113.70%,686.70%,354.00%,51.00%,-41.00%,118.00%,103.00%,24.50%
K159,(ROC)华子A,369.21%,271.60%,295.60%,41.50%,-41.50%,545.32%,228.84%,829.70%,1770.04%,1212.57%,136.50%,-147.00%,118.00%,547.00%,2524.05%,1946.70%,1101.00%,165.25%,-128.75%,565.00%,331.00%,1379.00%,1219.00%,878.70%,154.50%,-136.75%,281.00%,124.00%,1031.20%,636.20%,352.50%,54.50%,-41.00%,126.00%,81.00%,22.00%
K159,(ROC)AlQaeda,344.71%,234.10%,258.60%,41.50%,-41.50%,356.64%,106.44%,621.70%,1643.04%,1030.50%,128.50%,-140.75%,103.00%,201.00%,2321.05%,1752.70%,777.00%,157.00%,-130.50%,420.00%,232.00%,1160.50%,1058.00%,690.20%,146.50%,-134.50%,200.00%,115.00%,930.70%,523.70%,341.00%,51.00%,-39.00%,126.00%,81.00%,20.00%
K159,(ROC)爱吃甜食的先生,328.71%,238.60%,263.10%,41.50%,-41.50%,360.32%,141.80%,615.70%,1689.04%,1173.57%,128.50%,-143.50%,100.00%,269.01%,2316.05%,1713.70%,803.00%,148.00%,-128.75%,409.00%,229.00%,1173.00%,977.00%,624.70%,131.25%,-128.50%,130.00%,74.00%,961.20%,598.70%,328.00%,42.50%,-25.00%,76.00%,61.00%,21.00%
