Server,Player Name,Troop ATK,Troop HP,Troop DEF,Troop DMG,Troop DMG Recv,Troop ATK Bless,Troop PROT Bless,Infantry ATK,Infantry HP,Infantry DEF,Infantry DMG,Infantry DMG Recv,Infantry ATK Bless,Infantry PROT Bless,Archer ATK,Archer HP,Archer DEF,Archer DMG,Archer DMG Recv,Archer ATK Bless,Archer PROT Bless,Cav ATK,Cav HP,Cav DEF,Cav DMG,Cav DMG Recv,Cav ATK Bless,Cav PROT Bless,Siege ATK,Siege HP,Siege DEF,Siege DMG,Siege DMG Recv,Siege ATK Bless,Siege PROT Bless,Lethal %
K132,(RaW)ϟCrozyϟ,376.71%,327.85%,374.85%,41.50%,-43.75%,500.12%,600.00%,1870.70%,2441.00%,2160.12%,138.50%,-217.50%,243.00%,700.00%,1738.50%,1337.00%,834.85%,158.25%,-186.50%,423.00%,196.00%,1842.85%,1699.50%,1023.00%,154.50%,-160.50%,560.00%,329.00%,888.50%,1372.20%,1116.20%,140.75%,-166.75%,430.00%,371.00%,24.00%
K132,(STA)少年林夕,510.21%,494.10%,514.10%,47.50%,-47.50%,600.00%,600.00%,1968.70%,2954.50%,2724.12%,186.50%,-232.75%,700.00%,900.00%,2642.00%,2268.00%,1743.35%,204.50%,-194.50%,900.00%,700.00%,2096.35%,1930.00%,1618.00%,210.75%,-196.50%,900.00%,900.00%,1563.50%,1758.20%,1428.70%,182.50%,-184.50%,700.00%,700.00%,23.00%
K132,(STA)莉莉丝Kori,278.60%,243.10%,276.10%,41.50%,-40.00%,432.16%,263.88%,1185.00%,1318.35%,1126.49%,144.75%,-148.00%,160.00%,346.00%,1564.70%,935.05%,1186.50%,156.50%,-136.75%,396.00%,192.00%,2113.20%,1735.70%,1384.35%,152.25%,-128.75%,319.00%,148.00%,834.00%,707.00%,890.50%,51.00%,-25.00%,105.00%,74.00%,22.00%
K132,(STA)遗忘之刃,305.71%,219.10%,254.10%,40.00%,-39.00%,337.64%,297.44%,761.70%,1691.54%,1191.07%,124.50%,-132.50%,99.00%,316.00%,2232.55%,1709.20%,844.50%,136.00%,-121.50%,316.00%,190.00%,1149.00%,1094.00%,721.70%,132.00%,-122.50%,103.00%,69.00%,934.70%,678.70%,421.00%,84.00%,-70.50%,98.00%,49.00%,20.00%
K132,(STA)道不明,386.10%,372.85%,362.85%,41.50%,-43.75%,600.00%,600.00%,2088.70%,2144.50%,1863.70%,144.75%,-167.25%,700.00%,700.00%,2248.00%,1431.00%,1233.35%,154.50%,-142.75%,700.00%,700.00%,2363.35%,1490.00%,1173.00%,154.50%,-144.75%,700.00%,700.00%,1667.00%,1087.00%,1391.50%,148.25%,-136.50%,700.00%,630.00%,23.50%
K132,(STA)南浔绣花巾,319.10%,294.60%,345.10%,41.50%,-41.50%,445.52%,417.48%,744.70%,1151.07%,1482.12%,136.50%,-154.50%,146.00%,442.00%,2236.00%,1825.35%,1223.35%,162.75%,-144.75%,485.00%,308.00%,2574.55%,1916.20%,1095.50%,144.50%,-136.75%,480.00%,238.00%,1560.00%,539.00%,1144.50%,102.50%,-99.00%,113.00%,71.00%,21.50%
K132,(STA)说不清,319.10%,253.60%,329.10%,41.50%,-41.50%,501.24%,265.04%,789.70%,896.07%,1113.12%,51.80%,-74.80%,71.00%,476.00%,1997.00%,1484.35%,1416.35%,150.75%,-170.75%,503.00%,235.00%,2370.05%,1781.70%,918.00%,144.50%,-134.50%,413.00%,175.00%,1471.50%,340.50%,1119.00%,50.75%,-41.00%,133.00%,76.00%,22.00%
K132,(STA)瑞雪锋年,338.21%,254.60%,287.10%,41.50%,-40.00%,600.00%,344.00%,811.70%,1776.54%,1202.07%,140.50%,-142.00%,76.00%,186.00%,2424.05%,1745.20%,880.50%,166.75%,-130.50%,350.00%,193.00%,1280.00%,1087.50%,738.20%,148.25%,-122.50%,182.00%,93.00%,1019.70%,575.70%,383.50%,47.00%,-25.00%,67.00%,60.00%,21.00%
K132,(STA)萧山萝卜丝,412.85%,352.85%,362.85%,43.75%,-43.75%,601.00%,600.00%,1387.00%,2551.92%,1616.07%,160.50%,-185.75%,700.00%,700.00%,1868.00%,1499.00%,1121.00%,182.50%,-151.00%,700.00%,700.00%,2579.70%,1895.00%,1719.70%,188.75%,-166.75%,700.00%,700.00%,1896.85%,1008.50%,1354.00%,183.00%,-160.50%,700.00%,654.00%,23.50%
K132,(STA)天道酬勤,310.60%,240.10%,303.60%,41.50%,-41.50%,452.24%,421.16%,830.70%,1650.12%,1252.07%,142.75%,-154.50%,131.00%,402.00%,2507.05%,1954.70%,1356.50%,160.50%,-148.75%,452.00%,280.00%,1520.50%,1171.00%,816.70%,150.25%,-134.75%,280.00%,105.00%,1234.50%,439.00%,1021.50%,138.50%,-128.50%,91.00%,66.00%,22.00%
