Server,Player Name,Troop ATK,Troop HP,Troop DEF,Troop DMG,Troop DMG Recv,Troop ATK Bless,Troop PROT Bless,Infantry ATK,Infantry HP,Infantry DEF,Infantry DMG,Infantry DMG Recv,Infantry ATK Bless,Infantry PROT Bless,Archer ATK,Archer HP,Archer DEF,Archer DMG,Archer DMG Recv,Archer ATK Bless,Archer PROT Bless,Cav ATK,Cav HP,Cav DEF,Cav DMG,Cav DMG Recv,Cav ATK Bless,Cav PROT Bless,Siege ATK,Siege HP,Siege DEF,Siege DMG,Siege DMG Recv,Siege ATK Bless,Siege PROT Bless,Lethal %
K162,(aaa)星巴克,487.85%,402.85%,447.85%,43.75%,-43.75%,600.00%,600.00%,1914.70%,2751.00%,2112.70%,196.50%,-216.00%,700.00%,900.00%,2004.00%,1604.00%,1400.35%,191.50%,-196.50%,900.00%,700.00%,2457.35%,1967.00%,1665.00%,191.50%,-170.50%,700.00%,700.00%,1864.50%,1283.50%,1736.00%,180.50%,-160.00%,700.00%,700.00%,23.00%
K162,(aaa)军哥哥,462.85%,377.85%,422.85%,43.75%,-43.75%,600.00%,601.00%,2063.70%,2660.00%,2111.70%,138.50%,-188.25%,373.00%,700.00%,2269.00%,1490.00%,1294.35%,159.00%,-160.50%,700.00%,382.00%,2495.35%,1498.00%,1186.00%,159.00%,-144.75%,700.00%,700.00%,1767.00%,1125.50%,1589.00%,152.75%,-152.75%,532.00%,270.00%,25.00%
K162,(aaa)我是TRU们的爹呀,272.10%,224.60%,261.00%,38.50%,-40.00%,360.40%,281.00%,751.70%,1130.57%,1497.12%,124.50%,-134.00%,162.00%,186.00%,1670.00%,1146.35%,706.35%,54.50%,-54.50%,275.00%,173.00%,1965.05%,1651.70%,848.00%,134.00%,-118.50%,420.00%,125.00%,1006.00%,306.50%,756.00%,25.00%,-25.00%,72.00%,62.00%,22.00%
K162,(aaa)Goku,309.10%,205.10%,298.00%,41.50%,-41.50%,351.68%,315.96%,796.70%,1192.42%,1756.12%,144.75%,-154.50%,79.00%,310.00%,1127.70%,839.05%,950.35%,60.50%,-57.25%,285.00%,196.00%,2365.05%,1825.70%,1152.35%,152.75%,-134.75%,300.00%,200.00%,967.00%,455.50%,1047.00%,47.50%,-25.00%,89.00%,77.00%,22.00%
K162,(aaa) (杨家将）～～～,398.96%,300.85%,307.35%,43.75%,-43.75%,449.08%,275.88%,941.70%,1791.41%,1583.70%,124.50%,-154.50%,129.00%,517.00%,1720.00%,1278.00%,802.35%,153.50%,-152.00%,501.00%,280.00%,2061.05%,1618.00%,1243.70%,145.25%,-136.75%,232.00%,123.00%,1211.05%,778.20%,980.00%,85.50%,-98.10%,250.00%,73.00%,23.00%
K162,(aaa)Viature,248.60%,255.60%,273.60%,40.00%,-40.00%,314.00%,185.28%,1259.00%,1782.27%,1260.07%,134.75%,-145.75%,89.00%,162.00%,1200.70%,773.70%,817.00%,144.50%,-126.50%,287.00%,194.00%,1942.45%,1103.05%,143.00%,128.50%,-120.50%,80.00%,69.00%,890.60%,656.50%,846.50%,25.00%,-25.00%,70.00%,45.00%,21.00%
K162,(aaa)Singa,320.60%,266.60%,296.60%,41.50%,-41.50%,293.96%,252.88%,861.70%,1152.42%,1726.12%,138.75%,-151.50%,169.00%,302.00%,1625.00%,1143.00%,706.35%,57.25%,-55.25%,127.00%,173.00%,2502.05%,1862.70%,1176.35%,157.00%,-134.75%,420.00%,125.00%,946.00%,455.50%,1037.00%,54.50%,-25.00%,73.00%,62.00%,22.00%
K162,(aaa)杨家将～龙将,390.96%,256.10%,271.60%,41.50%,-41.50%,492.52%,255.80%,739.70%,1742.41%,1472.70%,124.50%,-149.75%,110.00%,381.00%,1625.00%,1261.00%,693.35%,136.75%,-136.75%,376.00%,240.00%,1911.05%,1558.00%,1215.70%,138.00%,-128.50%,158.00%,108.00%,1052.05%,653.20%,479.00%,85.00%,-83.00%,81.00%,85.00%,20.00%
K162,(aaa)North,334.85%,280.60%,280.60%,43.75%,-41.50%,360.00%,316.59%,868.70%,1199.42%,1798.62%,138.50%,-150.50%,137.00%,509.00%,1377.70%,978.05%,1062.35%,169.25%,-144.75%,503.00%,265.00%,2345.05%,1864.70%,1179.35%,156.75%,-134.75%,339.00%,159.00%,1166.00%,455.50%,1039.00%,51.50%,-41.00%,89.00%,87.00%,25.00%
K162,(aaa)库迪咖啡,350.10%,267.60%,303.60%,41.50%,-41.50%,492.48%,522.48%,1084.70%,1619.57%,1833.12%,142.50%,-162.75%,78.00%,509.00%,2166.50%,1508.35%,1148.35%,154.50%,-144.75%,700.00%,411.00%,2345.05%,1548.70%,761.00%,154.50%,-134.75%,346.00%,159.00%,1510.00%,564.50%,1194.00%,138.50%,-128.50%,89.00%,64.00%,24.00%
