Server,Player Name,Troop ATK,Troop HP,Troop DEF,Troop DMG,Troop DMG Recv,Troop ATK Bless,Troop PROT Bless,Infantry ATK,Infantry HP,Infantry DEF,Infantry DMG,Infantry DMG Recv,Infantry ATK Bless,Infantry PROT Bless,Archer ATK,Archer HP,Archer DEF,Archer DMG,Archer DMG Recv,Archer ATK Bless,Archer PROT Bless,Cav ATK,Cav HP,Cav DEF,Cav DMG,Cav DMG Recv,Cav ATK Bless,Cav PROT Bless,Siege ATK,Siege HP,Siege DEF,Siege DMG,Siege DMG Recv,Siege ATK Bless,Siege PROT Bless,Lethal %
K294,(KIL)-Ðêàth-,328.34%,278.84%,344.34%,28.25%,-43.75%,126.00%,600.00%,1796.70%,2459.63%,1543.57%,136.75%,-194.25%,215.00%,644.00%,1802.85%,1288.00%,885.00%,99.00%,-121.00%,236.00%,98.00%,1960.00%,1340.50%,1018.85%,120.75%,-129.25%,249.00%,215.00%,1345.50%,911.50%,1311.50%,131.00%,-160.50%,146.00%,68.50%,22.00%
K294,(QQQ)小熊座之后,519.10%,494.10%,469.10%,47.50%,-47.50%,600.00%,542.40%,1966.00%,3163.92%,2442.57%,194.50%,-234.50%,737.00%,900.00%,2340.00%,1746.00%,1417.50%,204.50%,-187.50%,872.00%,590.00%,3156.20%,2340.00%,2258.40%,217.50%,-197.50%,900.00%,900.00%,2231.85%,1479.50%,1776.50%,194.50%,-184.50%,622.00%,439.00%,20.00%
K294,(KIL)Nadershah,284.70%,161.99%,214.99%,40.00%,-42.50%,508.64%,53.46%,1001.20%,1334.62%,1133.92%,55.25%,-66.25%,106.00%,254.00%,2276.05%,1116.00%,930.70%,153.75%,-140.75%,299.00%,176.00%,1023.50%,877.00%,430.85%,135.50%,-124.50%,61.00%,53.00%,1090.05%,569.20%,304.50%,38.50%,-25.00%,41.00%,33.00%,21.00%
K294,(KIL)canoe,287.70%,204.09%,230.59%,40.00%,-40.00%,183.64%,51.44%,689.20%,1142.62%,887.42%,43.00%,-49.75%,61.00%,92.00%,2054.05%,1380.00%,950.20%,136.25%,-126.25%,249.00%,162.00%,780.50%,705.00%,316.35%,33.00%,-33.50%,29.00%,29.00%,873.05%,423.20%,174.50%,24.50%,-17.00%,29.00%,22.50%,20.00%
K294,(KIL)Zehara [ZAR],291.70%,170.09%,206.09%,39.00%,-40.00%,447.16%,36.24%,862.20%,1360.55%,1241.92%,41.25%,-44.15%,140.00%,182.00%,2257.80%,1378.50%,1062.70%,132.00%,-127.00%,352.00%,188.00%,979.00%,829.00%,475.85%,93.15%,-74.50%,53.00%,42.00%,981.05%,619.20%,288.50%,24.50%,-5.00%,34.50%,29.50%,12.00%
K294,(KIL)GoddessAthena,280.20%,215.59%,234.59%,40.00%,-40.00%,111.48%,23.04%,649.70%,1343.12%,1222.72%,130.50%,-136.25%,62.00%,71.00%,2157.25%,1405.00%,1008.70%,142.00%,-134.75%,299.00%,222.00%,640.30%,679.30%,382.85%,29.50%,-21.00%,23.00%,26.00%,875.05%,531.20%,189.50%,22.00%,-17.00%,21.00%,26.00%,20.00%
K294,(KIL)ThebigA,265.09%,238.59%,290.59%,41.50%,-40.00%,342.72%,19.04%,669.20%,837.57%,1242.55%,59.25%,-58.50%,153.00%,302.00%,1671.00%,939.00%,1057.70%,142.00%,-138.50%,123.00%,66.00%,2255.55%,1598.70%,805.50%,162.75%,-132.75%,249.00%,120.00%,1250.50%,334.50%,837.00%,134.50%,-112.50%,152.00%,72.00%,20.00%
K294,(KIL)FRANCO™,249.59%,175.99%,188.49%,40.00%,-39.00%,305.48%,43.24%,913.70%,949.52%,1085.63%,28.00%,-45.00%,100.00%,205.00%,1251.20%,868.80%,728.35%,37.00%,-31.00%,65.00%,51.00%,2078.05%,1067.50%,632.20%,138.50%,-118.50%,246.00%,172.00%,1173.25%,358.50%,769.00%,40.00%,-26.50%,70.00%,55.00%,20.00%
K294,(KIL)Saudade,421.15%,312.90%,369.90%,47.50%,-43.75%,569.00%,94.00%,1104.20%,1471.62%,926.57%,107.00%,-103.00%,267.00%,500.00%,3032.05%,2114.20%,1312.00%,222.75%,-172.50%,900.00%,606.00%,1646.50%,1262.50%,805.20%,184.50%,-166.75%,289.00%,179.00%,2324.50%,965.00%,1263.00%,206.50%,-166.75%,326.00%,147.00%,21.00%
K294,(KIL)KnightAmin,256.20%,201.59%,245.09%,40.00%,-40.00%,134.48%,57.30%,923.70%,1339.05%,1112.92%,134.75%,-134.00%,83.00%,178.00%,2060.30%,1169.00%,1006.70%,137.50%,-132.50%,216.00%,148.00%,816.25%,762.00%,384.85%,38.65%,-32.50%,76.00%,46.00%,898.80%,486.70%,254.00%,27.15%,-25.00%,53.00%,46.00%,16.00%
K294,(KIL)Bozkurt,328.84%,281.84%,324.34%,43.75%,-43.75%,413.24%,281.08%,1158.70%,1570.70%,1502.49%,142.75%,-161.00%,211.00%,504.00%,2342.05%,1350.00%,1225.20%,157.00%,-142.75%,315.00%,232.00%,1818.50%,1297.50%,818.85%,161.00%,-144.75%,401.00%,257.00%,1461.35%,631.50%,1132.50%,147.25%,-140.75%,190.00%,153.00%,21.00%
K294,(KIL)AS7,256.20%,127.99%,177.99%,40.00%,-40.00%,246.40%,1.00%,697.20%,1180.55%,934.50%,53.25%,-49.40%,56.00%,111.00%,2020.10%,1248.00%,908.50%,145.25%,-135.25%,207.00%,106.00%,813.50%,731.00%,304.85%,77.15%,-57.00%,30.00%,25.00%,860.20%,471.20%,224.50%,30.50%,-9.00%,24.00%,13.50%,12.00%
