Server,Player Name,Troop ATK,Troop HP,Troop DEF,Troop DMG,Troop DMG Recv,Troop ATK Bless,Troop PROT Bless,Infantry ATK,Infantry HP,Infantry DEF,Infantry DMG,Infantry DMG Recv,Infantry ATK Bless,Infantry PROT Bless,Archer ATK,Archer HP,Archer DEF,Archer DMG,Archer DMG Recv,Archer ATK Bless,Archer PROT Bless,Cav ATK,Cav HP,Cav DEF,Cav DMG,Cav DMG Recv,Cav ATK Bless,Cav PROT Bless,Siege ATK,Siege HP,Siege DEF,Siege DMG,Siege DMG Recv,Siege ATK Bless,Siege PROT Bless,Lethal %
K48,(TOP)FinalAuthority,524.10%,434.10%,439.10%,47.50%,-47.50%,602.00%,600.00%,2492.20%,3016.50%,2645.20%,186.50%,-236.50%,900.00%,900.00%,2676.00%,1709.50%,1439.35%,214.50%,-184.50%,900.00%,900.00%,2764.35%,1810.50%,1558.50%,214.50%,-196.50%,900.00%,900.00%,2226.50%,1499.00%,1728.00%,204.50%,-184.50%,900.00%,900.00%,23.50%
K48,(TOP)JCEO,344.60%,272.10%,289.10%,41.50%,-41.50%,600.00%,204.40%,1174.20%,1325.07%,1755.62%,144.75%,-169.00%,182.00%,700.00%,1896.50%,1397.35%,1073.35%,158.50%,-144.75%,575.00%,362.00%,2157.05%,1523.20%,718.50%,154.50%,-134.75%,348.00%,321.00%,1423.50%,477.50%,1058.50%,138.50%,-128.50%,167.00%,178.00%,22.50%
K48,(TOP)warf,318.85%,296.60%,314.10%,39.00%,-38.50%,427.40%,280.08%,1216.20%,1380.49%,1571.20%,134.75%,-136.25%,285.00%,249.00%,1621.00%,1294.50%,1163.85%,138.25%,-136.75%,236.00%,224.00%,2306.05%,1569.50%,1017.20%,131.25%,-124.75%,195.00%,215.00%,1815.35%,659.00%,1214.00%,121.00%,-112.50%,99.00%,59.00%,23.00%
K48,(TOP)RogueDamage,304.60%,230.10%,298.60%,40.00%,-40.00%,543.16%,107.12%,864.20%,1229.07%,1620.62%,49.25%,-58.25%,134.00%,299.00%,1447.50%,1076.35%,791.35%,120.00%,-134.75%,257.00%,192.00%,2281.05%,1837.20%,643.50%,150.75%,-135.50%,312.00%,217.00%,1917.50%,404.50%,1049.50%,42.50%,-25.00%,166.00%,125.00%,22.00%
K48,(TOP)M@KI,260.60%,214.60%,234.60%,39.00%,-39.00%,252.80%,160.76%,847.20%,874.92%,1403.55%,115.75%,-128.75%,117.00%,142.00%,823.70%,511.70%,699.20%,35.00%,-26.00%,288.00%,177.00%,1811.55%,1476.20%,798.35%,124.50%,-119.00%,77.00%,49.00%,663.00%,346.00%,737.00%,35.50%,-25.50%,38.50%,32.50%,20.00%
K48,(TOP)RoguePops,323.60%,280.10%,290.60%,40.00%,-40.00%,506.00%,49.82%,901.20%,1312.07%,1702.62%,69.50%,-88.95%,142.00%,270.00%,1531.00%,1074.35%,723.85%,136.00%,-138.50%,315.00%,217.00%,2124.55%,1719.20%,831.50%,142.25%,-130.75%,132.00%,97.00%,1372.50%,401.50%,959.50%,65.30%,-46.80%,88.00%,63.00%,22.00%
K48,(TOP)Sherzod,270.10%,230.10%,280.60%,41.50%,-41.50%,540.52%,123.84%,926.20%,1010.07%,1310.62%,142.75%,-152.25%,134.00%,214.00%,1614.50%,1039.00%,886.20%,150.25%,-144.75%,279.00%,155.00%,2121.55%,1629.70%,734.00%,152.25%,-136.75%,136.00%,98.00%,1354.50%,346.50%,909.50%,51.00%,-45.00%,97.00%,73.00%,22.50%
K48,(TOP)KM,280.10%,225.10%,252.10%,39.00%,-39.00%,220.12%,107.94%,845.20%,1269.49%,1610.20%,136.50%,-140.25%,166.00%,194.00%,1829.50%,1328.00%,1140.35%,141.75%,-120.50%,213.00%,146.00%,1167.05%,1148.50%,894.20%,133.75%,-120.50%,108.00%,92.00%,1261.85%,408.50%,813.50%,114.00%,-110.50%,75.00%,50.50%,20.00%
K48,(TOP)Slawek,378.10%,290.60%,315.60%,41.50%,-8.50%,601.00%,126.00%,940.20%,1106.42%,1583.12%,55.25%,-61.25%,151.00%,423.00%,1306.20%,831.05%,927.35%,156.50%,-143.00%,289.00%,151.00%,2352.05%,1928.55%,1000.50%,150.25%,-134.75%,256.00%,214.00%,1255.50%,497.50%,1094.50%,142.00%,-128.50%,159.00%,113.00%,24.50%
K48,(TOP)Repfite,286.10%,190.10%,254.60%,41.50%,-4.00%,499.40%,67.24%,787.20%,1102.07%,1525.62%,134.75%,-152.25%,100.00%,353.00%,1626.50%,1026.00%,877.70%,153.25%,-144.75%,215.00%,124.00%,2087.55%,1561.20%,713.50%,146.75%,-134.75%,151.00%,90.00%,1232.00%,435.50%,868.00%,133.00%,-132.50%,106.00%,78.00%,22.50%
