Server,Player Name,Troop ATK,Troop HP,Troop DEF,Troop DMG,Troop DMG Recv,Troop ATK Bless,Troop PROT Bless,Infantry ATK,Infantry HP,Infantry DEF,Infantry DMG,Infantry DMG Recv,Infantry ATK Bless,Infantry PROT Bless,Archer ATK,Archer HP,Archer DEF,Archer DMG,Archer DMG Recv,Archer ATK Bless,Archer PROT Bless,Cav ATK,Cav HP,Cav DEF,Cav DMG,Cav DMG Recv,Cav ATK Bless,Cav PROT Bless,Siege ATK,Siege HP,Siege DEF,Siege DMG,Siege DMG Recv,Siege ATK Bless,Siege PROT Bless,Lethal %
K294,(LAW)Osiris雪,369.40%,276.40%,336.90%,43.75%,-43.75%,503.10%,488.64%,2016.70%,2185.50%,1625.20%,166.75%,-180.50%,169.00%,672.00%,2324.00%,1559.50%,1190.35%,195.00%,-166.75%,700.00%,392.00%,2089.85%,1516.00%,1168.00%,182.50%,-171.00%,500.00%,290.00%,1357.50%,963.50%,1170.00%,136.25%,-131.00%,256.00%,157.00%,20.00%
K294,(LAW)MR_RAMPAGE,204.15%,209.15%,249.65%,40.00%,-40.00%,215.72%,85.66%,1371.70%,1565.00%,1314.63%,134.75%,-133.35%,81.00%,156.00%,1129.25%,818.50%,655.85%,33.50%,-30.00%,38.00%,32.00%,1720.35%,1202.00%,815.50%,136.90%,-122.75%,173.00%,119.00%,981.00%,553.50%,683.00%,0.00%,-26.40%,37.00%,36.00%,16.00%
K294,(LAW)†ZOO†,228.15%,225.15%,260.65%,37.50%,-37.50%,90.36%,86.32%,712.20%,1060.50%,1542.05%,110.50%,-134.90%,61.00%,137.00%,1024.50%,761.50%,790.20%,21.35%,-27.00%,38.00%,61.00%,1912.30%,1451.70%,623.00%,130.65%,-118.25%,232.00%,151.00%,978.25%,321.00%,672.50%,53.75%,-27.60%,34.00%,29.00%,12.00%
K294,(LAW)•PaSha•,209.15%,227.15%,239.15%,37.50%,-37.50%,200.00%,20.24%,521.50%,955.50%,1340.82%,115.00%,-120.25%,76.00%,162.00%,990.50%,716.50%,683.25%,11.35%,-14.50%,35.00%,27.00%,1898.70%,1424.70%,583.00%,118.40%,-110.25%,201.00%,118.00%,1057.00%,312.00%,757.00%,28.50%,-9.00%,133.50%,65.00%,12.00%
K294,(LAW)WOLF007,274.66%,204.65%,238.15%,41.50%,-41.50%,99.84%,96.00%,1085.90%,1877.54%,1064.80%,110.50%,-140.10%,102.00%,150.00%,1847.55%,1401.20%,479.50%,141.60%,-108.00%,242.00%,113.00%,742.25%,714.30%,563.45%,30.00%,-35.00%,50.00%,49.00%,671.15%,701.00%,159.00%,36.35%,-35.00%,29.00%,18.50%,20.00%
K294,(LAW)†WEN†,411.15%,430.15%,421.15%,47.50%,-47.50%,600.00%,600.00%,1880.70%,2497.50%,2043.20%,160.50%,-196.75%,265.00%,700.00%,2001.00%,1623.50%,1377.25%,193.50%,-134.50%,680.00%,312.00%,2641.35%,1915.00%,1356.00%,212.25%,-194.50%,700.00%,662.00%,1684.20%,1054.00%,1255.80%,172.50%,-184.50%,324.00%,226.00%,20.00%
K294,(LAW)•Şahar•,248.66%,181.15%,220.15%,39.00%,-39.00%,26.68%,20.84%,1141.40%,1760.35%,954.60%,112.50%,-128.50%,75.00%,146.00%,1492.75%,1067.80%,466.00%,116.85%,-110.00%,162.00%,84.00%,623.00%,619.60%,524.55%,12.15%,-16.50%,42.00%,28.50%,606.70%,603.20%,143.00%,16.50%,-7.00%,32.00%,25.00%,12.00%
K294,(LAW)SamiRa,266.76%,212.65%,239.15%,37.50%,-40.00%,169.36%,133.96%,1303.70%,2107.12%,1219.00%,116.50%,-135.60%,95.00%,162.00%,1965.85%,1436.50%,808.50%,129.35%,-120.00%,203.00%,124.00%,771.00%,829.00%,709.35%,16.15%,-33.00%,37.00%,28.00%,772.20%,820.70%,192.00%,20.50%,-23.00%,36.00%,21.50%,16.00%
K294,(LAW)Moe稀饭,239.65%,152.05%,215.05%,41.50%,-41.50%,340.48%,37.00%,835.20%,1019.30%,1270.63%,27.00%,-62.60%,81.00%,243.00%,1276.55%,830.80%,721.55%,42.35%,-20.50%,90.00%,32.00%,2050.80%,1305.00%,339.00%,146.50%,-132.50%,383.00%,198.00%,935.95%,201.00%,582.80%,42.35%,-39.00%,47.00%,32.00%,20.00%
K294,(LAW)ΓAAAP,239.26%,182.65%,213.65%,39.00%,-37.50%,158.92%,18.38%,537.70%,1156.05%,910.92%,29.00%,-40.15%,78.00%,137.00%,2000.30%,1075.50%,696.20%,131.50%,-113.50%,162.00%,91.00%,745.00%,711.00%,311.85%,19.15%,-18.50%,36.00%,35.00%,775.05%,367.70%,136.00%,16.50%,-7.00%,22.50%,20.50%,12.00%
K294,(LAW)Deepseek,232.15%,162.05%,229.05%,41.50%,-41.50%,392.86%,37.70%,897.70%,1034.50%,1380.05%,31.00%,-58.60%,93.00%,350.00%,1323.25%,907.50%,822.60%,42.35%,-20.50%,116.00%,73.00%,2122.50%,1368.70%,425.00%,141.75%,-136.75%,249.00%,167.00%,1040.55%,338.00%,664.80%,42.35%,-41.00%,101.00%,49.00%,20.00%
K294,(LAW)Gazman,295.53%,261.78%,294.78%,41.50%,-41.50%,587.04%,135.42%,889.70%,1291.57%,1500.20%,144.75%,-164.75%,217.00%,504.00%,1486.00%,954.50%,794.85%,142.00%,-134.50%,100.00%,139.00%,2361.85%,1512.00%,1136.50%,162.75%,-141.00%,649.00%,302.00%,1559.50%,613.00%,1148.00%,138.50%,-126.50%,214.00%,102.00%,20.50%



